event_id,order_id,sku,quantity,unit_price,sales_total_ngn,event_date,total_amount_ngn
c6ada6bdd20277907518d23a443c11066703883fafb9babc247458e974cab964,ORD-000001,SKU-0155,3,9000.0,27000.0,2023-10-10,57700.0
c6ada6bdd20277907518d23a443c11066703883fafb9babc247458e974cab964,ORD-000001,SKU-0155,3,9000.0,27000.0,2023-10-10,57700.0
c6ada6bdd20277907518d23a443c11066703883fafb9babc247458e974cab964,ORD-000001,SKU-0155,3,9000.0,27000.0,2023-10-10,57700.0
c6ada6bdd20277907518d23a443c11066703883fafb9babc247458e974cab964,ORD-000001,SKU-0155,3,9000.0,27000.0,2023-10-10,57700.0
c6ada6bdd20277907518d23a443c11066703883fafb9babc247458e974cab964,ORD-000001,SKU-0098,3,6700.0,20100.0,2023-10-10,57700.0
c6ada6bdd20277907518d23a443c11066703883fafb9babc247458e974cab964,ORD-000001,SKU-0098,3,6700.0,20100.0,2023-10-10,57700.0
c6ada6bdd20277907518d23a443c11066703883fafb9babc247458e974cab964,ORD-000001,SKU-0098,3,6700.0,20100.0,2023-10-10,57700.0
c6ada6bdd20277907518d23a443c11066703883fafb9babc247458e974cab964,ORD-000001,SKU-0098,3,6700.0,20100.0,2023-10-10,57700.0
c6ada6bdd20277907518d23a443c11066703883fafb9babc247458e974cab964,ORD-000001,SKU-0065,1,2500.0,2500.0,2023-10-10,57700.0
c6ada6bdd20277907518d23a443c11066703883fafb9babc247458e974cab964,ORD-000001,SKU-0065,1,2500.0,2500.0,2023-10-10,57700.0
c6ada6bdd20277907518d23a443c11066703883fafb9babc247458e974cab964,ORD-000001,SKU-0065,1,2500.0,2500.0,2023-10-10,57700.0
c6ada6bdd20277907518d23a443c11066703883fafb9babc247458e974cab964,ORD-000001,SKU-0065,1,2500.0,2500.0,2023-10-10,57700.0
c6ada6bdd20277907518d23a443c11066703883fafb9babc247458e974cab964,ORD-000001,SKU-0000,3,2700.0,8100.0,2023-10-10,57700.0
c6ada6bdd20277907518d23a443c11066703883fafb9babc247458e974cab964,ORD-000001,SKU-0000,3,2700.0,8100.0,2023-10-10,57700.0
c6ada6bdd20277907518d23a443c11066703883fafb9babc247458e974cab964,ORD-000001,SKU-0000,3,2700.0,8100.0,2023-10-10,57700.0
c6ada6bdd20277907518d23a443c11066703883fafb9babc247458e974cab964,ORD-000001,SKU-0000,3,2700.0,8100.0,2023-10-10,57700.0
65b1c7e3c3754692fa53e6d26b583ca82a60cbe0875e9a160160c81e0df0b1cc,ORD-000002,SKU-0141,1,4200.0,4200.0,2023-05-07,102300.0
65b1c7e3c3754692fa53e6d26b583ca82a60cbe0875e9a160160c81e0df0b1cc,ORD-000002,SKU-0141,1,4200.0,4200.0,2023-05-07,102300.0
65b1c7e3c3754692fa53e6d26b583ca82a60cbe0875e9a160160c81e0df0b1cc,ORD-000002,SKU-0141,1,4200.0,4200.0,2023-05-07,102300.0
65b1c7e3c3754692fa53e6d26b583ca82a60cbe0875e9a160160c81e0df0b1cc,ORD-000002,SKU-0107,3,26000.0,78000.0,2023-05-07,102300.0
65b1c7e3c3754692fa53e6d26b583ca82a60cbe0875e9a160160c81e0df0b1cc,ORD-000002,SKU-0107,3,26000.0,78000.0,2023-05-07,102300.0
65b1c7e3c3754692fa53e6d26b583ca82a60cbe0875e9a160160c81e0df0b1cc,ORD-000002,SKU-0107,3,26000.0,78000.0,2023-05-07,102300.0
65b1c7e3c3754692fa53e6d26b583ca82a60cbe0875e9a160160c81e0df0b1cc,ORD-000002,SKU-0173,3,6700.0,20100.0,2023-05-07,102300.0
65b1c7e3c3754692fa53e6d26b583ca82a60cbe0875e9a160160c81e0df0b1cc,ORD-000002,SKU-0173,3,6700.0,20100.0,2023-05-07,102300.0
65b1c7e3c3754692fa53e6d26b583ca82a60cbe0875e9a160160c81e0df0b1cc,ORD-000002,SKU-0173,3,6700.0,20100.0,2023-05-07,102300.0
1ae4b6a558f47b7b48177e8eb95a367e09495f800230c6795f481408d06d201f,ORD-000007,SKU-0191,3,1700.0,5100.0,2023-11-28,63.79
1ae4b6a558f47b7b48177e8eb95a367e09495f800230c6795f481408d06d201f,ORD-000007,SKU-0191,3,1700.0,5100.0,2023-11-28,63.79
1ae4b6a558f47b7b48177e8eb95a367e09495f800230c6795f481408d06d201f,ORD-000007,SKU-0191,3,1700.0,5100.0,2023-11-28,63.79
1ae4b6a558f47b7b48177e8eb95a367e09495f800230c6795f481408d06d201f,ORD-000007,SKU-0191,3,1700.0,5100.0,2023-11-28,63.79
1ae4b6a558f47b7b48177e8eb95a367e09495f800230c6795f481408d06d201f,ORD-000007,SKU-0191,3,1700.0,5100.0,2023-11-28,63.79
1ae4b6a558f47b7b48177e8eb95a367e09495f800230c6795f481408d06d201f,ORD-000007,SKU-0124,1,3000.0,3000.0,2023-11-28,63.79
1ae4b6a558f47b7b48177e8eb95a367e09495f800230c6795f481408d06d201f,ORD-000007,SKU-0124,1,3000.0,3000.0,2023-11-28,63.79
1ae4b6a558f47b7b48177e8eb95a367e09495f800230c6795f481408d06d201f,ORD-000007,SKU-0124,1,3000.0,3000.0,2023-11-28,63.79
1ae4b6a558f47b7b48177e8eb95a367e09495f800230c6795f481408d06d201f,ORD-000007,SKU-0124,1,3000.0,3000.0,2023-11-28,63.79
